word,french
a,1
ab,1
abaissa,1
abaissai,1
abaissaient,1
abaissais,1
abaissait,1
abaissames,1
abaissant,1
abaissas,1
abaissasse,1
abaissassent,1
abaissasses,1
abaissassiez,1
abaissassions,1
abaissat,1
abaissates,1
abaisse,1
abaissee,1
abaissees,1
abaissement,1
abaissements,1
abaissent,1
abaisser,1
abaissera,1
abaisserai,1
abaisseraient,1
abaisserais,1
abaisserait,1
abaisseras,1
abaisserent,1
abaisserez,1
abaisseriez,1
abaisserions,1
abaisserons,1
abaisseront,1
abaisses,1
abaisseur,1
abaisseurs,1
abaissez,1
abaissiez,1
abaissions,1
abaissons,1
abandon,1
abandonna,1
abandonnai,1
abandonnaient,1
abandonnais,1
abandonnait,1
abandonnames,1
abandonnant,1
abandonnas,1
abandonnasse,1
abandonnassent,1
abandonnasses,1
abandonnassiez,1
abandonnassions,1
abandonnat,1
abandonnates,1
abandonne,1
abandonnee,1
abandonnees,1
abandonnent,1
abandonner,1
abandonnera,1
abandonnerai,1
abandonneraient,1
abandonnerais,1
abandonnerait,1
abandonneras,1
abandonnerent,1
abandonnerez,1
abandonneriez,1
abandonnerions,1
abandonnerons,1
abandonneront,1
abandonnes,1
abandonnez,1
abandonniez,1
abandonnions,1
abandonnons,1
abandons,1
abaque,1
abaques,1
abasourdi,1
abasourdie,1
abasourdies,1
abasourdimes,1
abasourdir,1
abasourdira,1
abasourdirai,1
abasourdiraient,1
abasourdirais,1
abasourdirait,1
abasourdiras,1
abasourdirent,1
abasourdirez,1
abasourdiriez,1
abasourdirions,1
abasourdirons,1
abasourdiront,1
abasourdis,1
abasourdissaient,1
abasourdissais,1
abasourdissait,1
abasourdissant,1
abasourdissante,1
abasourdissantes,1
abasourdissants,1
abasourdisse,1
abasourdissement,1
abasourdissements,1
abasourdissent,1
abasourdisses,1
abasourdissez,1
abasourdissiez,1
abasourdissions,1
abasourdissons,1
abasourdit,1
abasourdites,1
abat,1
abatardi,1
abatardie,1
abatardies,1
abatardimes,1
abatardir,1
abatardira,1
abatardirai,1
abatardiraient,1
abatardirais,1
abatardirait,1
abatardiras,1
abatardirent,1
abatardirez,1
abatardiriez,1
abatardirions,1
abatardirons,1
abatardiront,1
abatardis,1
abatardisaient,1
abatardisais,1
abatardisait,1
abatardisant,1
abatardisse,1
abatardissement,1
abatardissements,1
abatardissent,1
abatardisses,1
